Matched Sequence,Length,E-value,Identity (%),Match Start,Match End
"gi|2216559457|gb|CP043597.1| Klebsiella pneumoniae strain WCHKP085031 chromosome, complete genome",5204756,0.0,99.88,2411323,2410514
"gi|1927384581|emb|LR890291.1| Klebsiella pneumoniae strain KSB1_1B genome assembly, chromosome: 1",5252324,0.0,99.88,2677648,2678457
"gi|2734565397|gb|CP155647.1| Klebsiella pneumoniae strain 1475-1 chromosome, complete genome",5426148,0.0,99.88,2772042,2772851
gi|2070117831|gb|CP078746.1| Klebsiella pneumoniae strain Colony493 chromosome,5540574,0.0,99.88,2897738,2898547
"gi|1913261541|gb|CP061842.1| Klebsiella pneumoniae strain HC139 chromosome, complete genome",5098464,0.0,99.88,2567288,2568097
"gi|1750948335|gb|CP044033.1| Klebsiella pneumoniae strain FDAARGOS_631 chromosome 1, complete sequence",5290279,0.0,99.88,4060943,4061752
"gi|2799256825|gb|CP153622.1| Klebsiella pneumoniae strain Kpn116 chromosome, complete genome",5199032,0.0,99.88,2630113,2630922
"gi|2163263698|gb|CP083066.1| Klebsiella pneumoniae strain 1613015451 chromosome, complete genome",5340602,0.0,99.88,2738623,2739432
gi|1325134009|gb|CP025630.1| Klebsiella pneumoniae strain LS359 chromosome,4766516,0.0,99.88,2050588,2049779
"gi|2283168594|gb|CP030717.1| Klebsiella pneumoniae strain B4 chromosome, complete genome",5256698,0.0,99.88,2682716,2683525
"gi|2890481807|gb|CP177218.1| Klebsiella pneumoniae strain Kpn-A8 chromosome, complete genome",5222728,0.0,99.88,2684768,2685577
"gi|2283174383|gb|CP030725.1| Klebsiella pneumoniae strain B3 chromosome, complete genome",5479750,0.0,99.88,2682454,2683263
"gi|2283174383|gb|CP030725.1| Klebsiella pneumoniae strain B3 chromosome, complete genome",5479750,0.0,99.38,3980508,3981317
"gi|2283174383|gb|CP030725.1| Klebsiella pneumoniae strain B3 chromosome, complete genome",5479750,2.09841e-44,68.58,4141115,4140562
"gi|2174501295|gb|CP089989.1| Klebsiella pneumoniae strain LZKP00003 chromosome, complete genome",5314393,0.0,99.88,4892406,4893215
gi|2567912374|gb|CP133011.1| Klebsiella pneumoniae strain KLB_MDR_390314 chromosome,5297963,0.0,99.88,2531405,2530596
"gi|2243829923|emb|OW966980.1| Klebsiella pneumoniae isolate 1189 genome assembly, chromosome: main",5238522,0.0,99.88,2662783,2663592
"gi|2087989066|gb|CP082029.1| Klebsiella pneumoniae strain KP18-2113 chromosome, complete genome",5484309,0.0,99.88,2979630,2980439
"gi|2087989066|gb|CP082029.1| Klebsiella pneumoniae strain KP18-2113 chromosome, complete genome",5484309,0.0,99.75,702282,701473
"gi|2799303518|gb|CP153634.1| Klebsiella pneumoniae strain Kpn1537 chromosome, complete genome",5148545,0.0,99.88,2574021,2574830
"gi|2333862839|gb|CP110769.1| Klebsiella pneumoniae strain INF032 chromosome, complete genome",5111539,0.0,99.88,3723245,3722436
gi|2070117869|gb|CP078765.1| Klebsiella pneumoniae strain Colony255 chromosome,5540574,0.0,99.88,2897738,2898547
